Ciudad;Fecha;Hora;clima;km;Tmax;Tmin;kmviento;viento;presion
Azul;28-abril-2026;07:00;Algo nublado;15 km;5.9;3.5; 79;Norte  11;996.1 
 Bah�a Blanca;28-abril-2026;07:00;Algo nublado;15 km;3.2;-0.4; 83;Norte  14;1002.4 
 Benito Ju�rez;27-abril-2026;21:00;Parcialmente nublado;10 km;6.6;No se calcula; 82;Oeste  3;989.2 
 Bol�var;28-abril-2026;07:00;Cubierto;15 km;8;No se calcula; 76;Calma;1003.4 
 Campo de Mayo;27-abril-2026;21:00;Parcialmente nublado;10 km;6.5;5.6; 88;Oeste  5;1014.4 
 Coronel Suarez;28-abril-2026;07:00;Despejado;12 km;2.1;-1.1; 83;Oeste  11;985.2 
 Dolores;27-abril-2026;21:00;Parcialmente nublado;10 km;9;7.3; 88;Oeste  11;1014.5 
 El Palomar;28-abril-2026;07:00;Parcialmente nublado;10 km;8;7.3; 75;Norte  5;1015.4 
 Ezeiza;28-abril-2026;07:00;Parcialmente nublado;10 km;8.8;No se calcula; 81;Calma;1014.2 
 Jun�n;28-abril-2026;07:00;Parcialmente nublado;12 km;8.5;7.4; 66;Norte  7;1006.6 
 La Plata;28-abril-2026;07:00;Parcialmente nublado;10 km;5.1;No se calcula; 85;Calma;1014.6 
 Las Flores;28-abril-2026;06:00;Algo nublado;15 km;6.4;No se calcula; 82;Calma;1012.1 
 Mar del Plata;28-abril-2026;07:00;Parcialmente nublado;10 km;4.9;2.0; 90;Noroeste  13;1010.9 
 Mariano Moreno;27-abril-2026;21:00;Parcialmente nublado;10 km;8.8;No se calcula; 73;Noroeste  3;1013 
 Merlo;28-abril-2026;07:00;Cubierto;10 km;8;7.3; 73;Oeste  5;1015.2 
 Mor�n;28-abril-2026;07:00;Nublado;10 km;9;7.6; 66;Norte  9;1013.4 
 Nueve de Julio;27-abril-2026;21:00;Parcialmente nublado;15 km;9.8;8.2; 62;Oeste  11;1007.4 
 Olavarr�a;27-abril-2026;21:00;Algo nublado;15 km;5.4;4.3; 92;Oeste  5;994.9 
 Pehuaj�;27-abril-2026;21:00;Algo nublado;15 km;8.9;8.3; 72;Oeste  5;1006 
 Pigu�;27-abril-2026;21:00;Nublado;20 km;5.8;No se calcula; 65;Este  3;978 
 Punta Indio B.A.;27-abril-2026;21:00;Algo nublado;10 km;12;No se calcula; 78;Noroeste  11;1013.8 
 San Fernando;28-abril-2026;07:00;Nublado;10 km;9;8.0; 76;Norte  7;1016.2 
 Tandil;27-abril-2026;21:00;Parcialmente nublado;10 km;6.8;5.4; 84;Sudoeste  7;993.8 
 Trenque Lauquen;27-abril-2026;21:00;Parcialmente nublado;15 km;10;9.1; 62;Noreste  7;1004.2 
 Tres Arroyos;27-abril-2026;21:00;Parcialmente nublado con neblina;5 km;7.4;No se calcula; 87;Norte  1;1000.2 
 Villa Gesell;27-abril-2026;21:00;Nublado;10 km;8.5;6.7; 97;Oeste  11;1013.7 
 Aeroparque Buenos Aires;28-abril-2026;07:00;Parcialmente nublado;10 km;10.5;No se calcula; 56;Noroeste  11;1016.1 
 Buenos Aires;28-abril-2026;07:00;Cubierto;10 km;10.9;No se calcula; 54;Noroeste  5;1013.8 
 Catamarca;28-abril-2026;07:00;Algo nublado;20 km;6.4;5.5; 94;Este  5;961.4 
 Tinogasta;27-abril-2026;21:00;Despejado;20 km;14.6;No se calcula; 58;Este  14;878.6 
 Pcia. Roque Saenz Pe�a;28-abril-2026;07:00;Despejado;20 km;6.7;No se calcula; 95;Calma;1005.7 
 Resistencia;28-abril-2026;07:00;Despejado;15 km;10.3;No se calcula; 89;Sudeste  7;1011 
 Comodoro Rivadavia;28-abril-2026;07:00;Nublado;30 km;8.9;6.2; 60;Oeste  18;998.6 
 Esquel;28-abril-2026;07:00;Nublado;30 km;1.6;-0.7; 88;Direcciones Variables  7;918 
 Paso De Indios;27-abril-2026;21:00;Algo nublado;45 km;11.8;No se calcula; 61;Sudoeste  24;954.6 
 Puerto Madryn;28-abril-2026;07:00;Algo nublado;30 km;3.4;-0.7; 85;Oeste  18;993 
 Trelew;28-abril-2026;07:00;Algo nublado;30 km;2.6;0.5; 80;Noroeste  7;1004.2 
 C�rdoba;28-abril-2026;07:00;Parcialmente nublado;15 km;6.4;5.5; 94;Sur  5;958.9 
 C�rdoba Observatorio;28-abril-2026;07:00;Algo nublado;10 km;7.7;No se calcula; 76;Sudoeste  1;967 
 Esc. Aviaci�n Militar;28-abril-2026;07:00;Parcialmente nublado;10 km;6.4;No se calcula; 91;Calma;959 
