FECHA,HORA,temperatura,humedad,presion,direccionviento,kmviento,NOMBRE
11072026,0,12.1,92,1015.9,160,7,AEROPARQUE
11072026,1,12.0,92,1016.4,990,4,AEROPARQUE
11072026,2,11.4,94,1016.4,200,6,AEROPARQUE
11072026,3,11.1,96,1015.9,0,0,AEROPARQUE
11072026,4,10.2,97,1015.8,0,0,AEROPARQUE
11072026,5,9.8,96,1015.6,190,6,AEROPARQUE
11072026,6,10.5,91,1016.1,990,4,AEROPARQUE
11072026,7,9.5,95,1016.8,220,9,AEROPARQUE
11072026,8,9.6,95,1017.5,180,9,AEROPARQUE
11072026,9,10.1,91,1017.7,180,6,AEROPARQUE
11072026,10,10.3,90,1018.4,230,7,AEROPARQUE
11072026,11,11.1,86,1018.7,240,7,AEROPARQUE
11072026,12,12.3,80,1018.5,230,7,AEROPARQUE
11072026,13,12.6,76,1017.7,220,13,AEROPARQUE
11072026,14,12.5,75,1017.3,210,11,AEROPARQUE
11072026,15,12.3,76,1017.3,230,9,AEROPARQUE
11072026,16,11.8,79,1017.4,230,11,AEROPARQUE
11072026,17,11.9,79,1017.8,240,9,AEROPARQUE
11072026,18,11.7,81,1018.2,240,7,AEROPARQUE
11072026,19,11.0,85,1018.9,250,11,AEROPARQUE
11072026,20,10.4,92,1019.6,260,9,AEROPARQUE
11072026,21,10.3,94,1019.3,220,7,AEROPARQUE
11072026,22,10.8,89,1019.8,190,11,AEROPARQUE
11072026,23,10.7,88,1020.4,190,13,AEROPARQUE
11072026,0,8.3,97,1018.6,230,4,AZUL AERO
11072026,1,8.2,97,1017.7,200,4,AZUL AERO
11072026,2,8.5,97,1017.4,140,7,AZUL AERO
11072026,3,8.4,97,1018.0,140,7,AZUL AERO
11072026,4,8.2,97,1017.6,110,6,AZUL AERO
11072026,5,8.0,99,1017.5,160,6,AZUL AERO
11072026,6,7.9,99,1017.9,0,0,AZUL AERO
11072026,7,8.0,97,1018.2,180,6,AZUL AERO
11072026,8,8.0,97,1018.7,180,7,AZUL AERO
11072026,9,8.1,97,1019.4,180,4,AZUL AERO
11072026,10,8.6,96,1019.7,180,6,AZUL AERO
11072026,11,9.2,97,1020.1,180,6,AZUL AERO
11072026,12,9.5,96,1020.0,140,11,AZUL AERO
11072026,13,9.7,96,1019.7,140,15,AZUL AERO
11072026,14,10.3,88,1019.3,140,11,AZUL AERO
11072026,15,11.4,84,1019.0,140,11,AZUL AERO
11072026,16,10.6,85,1018.9,140,9,AZUL AERO
11072026,17,10.3,84,1019.4,140,7,AZUL AERO
11072026,18,9.6,86,1020.3,140,11,AZUL AERO
11072026,19,8.5,89,1021.1,180,7,AZUL AERO
11072026,20,7.0,94,1021.5,180,4,AZUL AERO
11072026,21,7.0,93,1021.8,140,11,AZUL AERO
11072026,22,7.3,92,1022.7,140,7,AZUL AERO
11072026,23,6.7,94,1023.1,140,4,AZUL AERO
11072026,0,7.2,92,1020.4,120,17,BAHIA BLANC
11072026,1,7.0,94,1021.2,120,11,BAHIA BLANC
11072026,2,7.2,100,1021.3,140,11,BAHIA BLANC
11072026,3,7.0,97,1021.2,130,15,BAHIA BLANC
11072026,4,6.8,100,1021.2,140,9,BAHIA BLANC
11072026,5,7.0,100,1021.3,170,15,BAHIA BLANC
11072026,6,6.6,97,1021.8,160,19,BAHIA BLANC
11072026,7,6.8,97,1022.3,160,13,BAHIA BLANC
11072026,8,6.4,97,1022.7,160,13,BAHIA BLANC
11072026,9,6.4,97,1023.2,170,13,BAHIA BLANC
11072026,10,7.1,95,1024.1,160,11,BAHIA BLANC
11072026,11,7.7,96,1024.6,190,13,BAHIA BLANC
11072026,12,8.2,88,1024.5,170,15,BAHIA BLANC
11072026,13,9.3,78,1023.6,160,20,BAHIA BLANC
11072026,14,9.2,73,1023.7,160,15,BAHIA BLANC
11072026,15,10.3,67,1023.2,180,17,BAHIA BLANC
11072026,16,10.1,62,1023.3,170,15,BAHIA BLANC
11072026,17,8.3,72,1023.5,150,11,BAHIA BLANC
